part_id,occurrence_count,sum_qty,optimal_value
38,1,1.0,1.0
46,1,1.58,1.58
52,2,1.0,0.5
1148,26071,26105.95,1.0013405699819724
1149,8,11.25,1.40625
1153,245,263.78,1.0766530612244898
1154,2264,1810.8500000000001,0.7998454063604241
1155,5587,2923.8,0.523321997494183
1156,345,317.0,0.9188405797101449
1157,1630,1726.38,1.0591288343558283
1158,29,13.1,0.4517241379310345
1159,181,121.05000000000001,0.6687845303867404
1160,171,98.75,0.577485380116959
1161,3228,2453.54,0.7600805452292441
1162,2,1.15,0.575
1163,157,174.98000000000002,1.1145222929936307
1164,3400,3752.28,1.1036117647058825
1165,524,829.98,1.5839312977099238
1166,29,10.21,0.35206896551724143
1168,299,126.86,0.4242809364548495
1169,687,293.38,0.42704512372634645
1170,2126,1379.8700000000001,0.6490451552210725
1171,3104,1553.7,0.5005476804123712
1173,158,71.26,0.45101265822784814
1174,47,24.930000000000003,0.5304255319148937
1175,23,7.98,0.34695652173913044
1176,422,150.81,0.3573696682464455
1177,60,47.300000000000004,0.7883333333333334
1178,1,0.42,0.42
1179,37,23.35,0.6310810810810811
1180,2,0.84,0.42
1181,1,0.55,0.55
1182,10,30.39,3.039
1183,2,0.97,0.485
1185,287,73.2,0.2550522648083624
1186,87,87.0,1.0
1187,19,28.5,1.5
1188,8,8.0,1.0
1191,2,1.0,0.5
1196,1388,486.49999999999994,0.35050432276657056
1198,51,14.0,0.27450980392156865
1199,91,59.05,0.6489010989010988
1200,97,91.5,0.9432989690721649
1201,10,7.8,0.78
1202,739,516.25,0.6985791610284168
1203,39,41.8,1.0717948717948718
1204,1977,583.85,0.2953211937278705
1205,10,3.16,0.316
1206,156,48.75,0.3125
1207,2316,1252.0,0.540587219343696
1208,364,351.25,0.9649725274725275
1209,59,43.2,0.7322033898305085
1210,676,709.7900000000001,1.0499852071005917
1211,201,161.43,0.803134328358209
1213,4385,2320.0,0.5290763968072976
1214,71,26.230000000000004,0.36943661971830993
1215,242,88.29,0.3648347107438017
1216,3295,3734.5,1.1333839150227618
1217,1280,1057.3500000000001,0.8260546875000001
1218,6722,1285.9,0.19129723296637907
1220,694,515.63,0.7429827089337175
1221,321,216.88000000000002,0.6756386292834892
1222,1234,1667.25,1.351094003241491
1223,819,633.95,0.7740537240537241
1224,24,33.27,1.3862500000000002
1225,68,77.98,1.146764705882353
1226,2797,1425.71,0.5097282803003218
1227,91,146.81,1.6132967032967034
1228,39,60.400000000000006,1.5487179487179488
1229,84,264.25,3.1458333333333335
1230,10,7.7700000000000005,0.777
1231,6,6.75,1.125
1232,3,3.6,1.2
1233,679,1569.04,2.3108100147275406
1234,231,642.62,2.781904761904762
1235,2159,7921.87,3.6692311255210743
1236,629,1684.4,2.6779014308426077
1237,9,13.5,1.5
1238,27,76.6,2.837037037037037
1239,11,5.25,0.4772727272727273
1240,36,106.15,2.948611111111111
1241,31,34.83,1.1235483870967742
1242,22,27.43,1.2468181818181818
1243,15,14.08,0.9386666666666666
1244,44,55.43,1.2597727272727273
1245,239,948.75,3.969665271966527
1247,1003,7943.9400000000005,7.920179461615155
1248,6,11.790000000000001,1.965
1249,899,1911.0500000000002,2.1257508342602893
1250,1,1.1,1.1
1252,78,31.140000000000004,0.3992307692307693
1254,49,30.270000000000003,0.6177551020408164
1255,38,27.240000000000002,0.716842105263158
1256,9,19.380000000000003,2.1533333333333338
1257,12,25.5,2.125
1258,1509,3078.9500000000003,2.0403909874088804
1259,11,25.0,2.272727272727273
1260,39,13.72,0.3517948717948718
1261,10,15.7,1.5699999999999998
1262,4,5.6,1.4
1263,23,20.66,0.8982608695652174
1264,15,15.75,1.05
1265,8,22.93,2.86625
1266,6,6.42,1.07
1267,117,111.92,0.9565811965811966
1268,4,1.9600000000000002,0.49000000000000005
1269,178,90.29,0.5072471910112359
1271,67,228.0,3.4029850746268657
1272,96,44.75,0.4661458333333333
1273,64,348.7,5.4484375
1274,3,2.2,0.7333333333333334
1275,6,6.3999999999999995,1.0666666666666667
1276,7,4.57,0.6528571428571429
1277,14,10.76,0.7685714285714286
1278,565,560.77,0.9925132743362831
1279,9,13.08,1.4533333333333334
1280,221,128.0,0.579185520361991
1281,23,17.59,0.7647826086956522
1282,153,120.97,0.7906535947712419
1283,5,4.9,0.9800000000000001
1284,45,63.53,1.4117777777777778
1285,189,719.2,3.8052910052910054
1286,95,53.480000000000004,0.5629473684210526
1287,313,199.95000000000002,0.638817891373802
1288,88,95.05000000000001,1.0801136363636366
1289,130,74.4,0.5723076923076924
1290,134,157.07000000000002,1.1721641791044777
1291,286,584.86,2.0449650349650352
1292,8,16.8,2.1
1293,2,2.1,1.05
1294,115,161.3,1.402608695652174
1295,35,58.24,1.6640000000000001
1296,13,20.380000000000003,1.567692307692308
1297,218,340.09000000000003,1.5600458715596333
1298,1849,1859.0,1.0054083288263926
1299,1,1.0,1.0
1300,74,40.650000000000006,0.5493243243243244
1301,149,97.85000000000001,0.6567114093959732
1302,17,9.92,0.5835294117647059
1303,148,64.55,0.4361486486486486
1304,604,544.44,0.9013907284768213
1305,8,19.75,2.46875
1306,133,213.82000000000002,1.607669172932331
1307,546,359.69,0.6587728937728937
1308,85,131.11,1.5424705882352943
1309,696,1400.5,2.012212643678161
1310,19,32.2,1.6947368421052633
1311,104,148.8,1.4307692307692308
1312,1,1.1,1.1
1313,161,420.95,2.6145962732919252
1314,5,39.4,7.88
1315,1,4.73,4.73
1316,52,49.5,0.9519230769230769
1317,3,3.0,1.0
1318,8,6.4,0.8
1320,3,1.5,0.5
